PostalCode,NumStations,PLZ,GPLZ,Canton
9470,19,9470,9470,SG
9470,19,9470,9470,SG
9470,19,9470,9470,SG
9470,19,9470,9470,SG
9470,19,9470,9470,SG
4622,18,4622,4622,SO
9016,18,9016,9000,SG
1030,18,1030,1030,VD
1030,18,1030,1030,VD
1030,18,1030,1030,VD
8134,17,8134,8134,ZH
8134,17,8134,8134,ZH
8134,17,8134,8134,ZH
8134,17,8134,8134,ZH
8134,17,8134,8134,ZH
7000,17,7000,7000,GR
7000,17,7000,7000,GR
7000,17,7000,7000,GR
7000,17,7000,7000,GR
7000,17,7000,7000,GR
5618,17,5618,5618,AG
3113,16,3113,3113,BE
6330,15,6330,6330,ZG
6330,15,6330,6330,ZG
4600,15,4600,4600,SO
4600,15,4600,4600,SO
4600,15,4600,4600,SO
4600,15,4600,4600,SO
4600,15,4600,4600,SO
1700,15,1700,1700,FR
1700,15,1700,1700,FR
1700,15,1700,1700,FR
1700,15,1700,1700,FR
1700,15,1700,1700,FR
1700,15,1700,1700,FR
1700,15,1700,1700,FR
3715,14,3715,3715,BE
3715,14,3715,3715,BE
4566,14,4566,4566,SO
4566,14,4566,4566,SO
4566,14,4566,4566,SO
8867,14,8867,8867,GL
8867,14,8867,8867,GL
7270,14,7270,7270,GR
7270,14,7270,7270,GR
7270,14,7270,7270,GR
1530,13,1530,1530,VD
1530,13,1530,1530,VD
1530,13,1530,1530,VD
8500,13,8500,8500,TG
8500,13,8500,8500,TG
8500,13,8500,8500,TG
8500,13,8500,8500,TG
8500,13,8500,8500,TG
8500,13,8500,8500,TG
8500,13,8500,8500,TG
3063,13,3063,3063,BE
3063,13,3063,3063,BE
4702,13,4702,4702,SO
4702,13,4702,4702,SO
4702,13,4702,4702,SO
4702,13,4702,4702,SO
6033,13,6033,6033,LU
6033,13,6033,6033,LU
8310,13,8310,8310,ZH
8310,13,8310,8310,ZH
8310,13,8310,8310,ZH
3792,13,3792,3792,BE
8912,12,8912,8912,ZH
3645,12,3645,3645,BE
3645,12,3645,3645,BE
3645,12,3645,3645,BE
3006,12,3006,3000,BE
6023,12,6023,6023,LU
6023,12,6023,6023,LU
4502,12,4502,4500,SO
1723,12,1723,1723,FR
1723,12,1723,1723,FR
1723,12,1723,1723,FR
1723,12,1723,1723,FR
1723,12,1723,1723,FR
1723,12,1723,1723,FR
4322,12,4322,4322,AG
4142,12,4142,4142,BL
4142,12,4142,4142,BL
4142,12,4142,4142,BL
4142,12,4142,4142,BL
4142,12,4142,4142,BL
8280,12,8280,8280,TG
8280,12,8280,8280,TG
8280,12,8280,8280,TG
8280,12,8280,8280,TG
8207,11,8207,8200,SH
6005,11,6005,6000,LU
6005,11,6005,6000,LU
6005,11,6005,6005,LU
1201,11,1201,1200,GE
7323,11,7323,7323,SG
8887,10,8887,8887,SG
8887,10,8887,8887,SG
8887,10,8887,8887,SG
8212,10,8212,8212,SH
8212,10,8212,8212,ZH
8212,10,8212,8212,SH
8212,10,8212,8212,SH
3013,10,3013,3000,BE
6776,10,6776,6776,TI
8201,10,8201,8200,SH
3072,10,3072,3072,BE
3072,10,3072,3072,BE
3072,10,3072,3072,BE
5036,10,5036,5036,AG
5036,10,5036,5036,AG
5745,10,5745,5745,AG
1957,10,1957,1957,VS
3775,10,3775,3775,BE
1227,10,1227,1227,GE
1227,10,1227,1227,GE
1227,10,1227,1227,GE
1227,10,1227,1227,GE
1227,10,1227,1227,GE
1183,10,1183,1183,VD
6815,10,6815,6815,TI
3014,10,3014,3000,BE
4132,10,4132,4132,BL
4132,10,4132,4132,BL
4132,10,4132,4132,BL
4132,10,4132,4132,BL
4132,10,4132,4132,BL
8957,10,8957,8957,AG
8957,10,8957,8957,AG
4456,10,4456,4456,BL
8274,10,8274,8274,TG
8274,10,8274,8274,TG
8274,10,8274,8274,TG
3012,10,3012,3000,BE
8472,10,8472,8472,ZH
8472,10,8472,8472,ZH
9001,10,9001,9000,SG
9001,10,9001,9000,SG
3110,10,3110,3110,BE
3110,10,3110,3110,BE
6210,9,6210,6210,LU
6210,9,6210,6210,LU
6210,9,6210,6210,LU
6210,9,6210,6210,LU
9230,9,9230,9230,SG
9230,9,9230,9230,SG
9230,9,9230,9230,SG
9230,9,9230,9230,SG
8700,9,8700,8700,ZH
8700,9,8700,8700,ZH
9320,9,9320,9320,TG
9320,9,9320,9320,TG
9320,9,9320,9320,TG
9320,9,9320,9320,TG
9320,9,9320,9320,TG
4528,9,4528,4528,SO
4528,9,4528,4528,SO
3250,9,3250,3250,BE
3250,9,3250,3250,BE
3250,9,3250,3250,BE
3250,9,3250,3250,BE
2542,9,2542,2542,BE
8152,8,8152,8152,ZH
8152,8,8152,8152,ZH
8152,8,8152,8152,ZH
8152,8,8152,8152,ZH
8152,8,8152,8152,ZH
3940,8,3940,3940,VS
3940,8,3940,3940,VS
3053,8,3053,3053,BE
3053,8,3053,3053,BE
3053,8,3053,3053,BE
3053,8,3053,3053,BE
3053,8,3053,3053,BE
3053,8,3053,3053,BE
1630,8,1630,1630,FR
1630,8,1630,1630,FR
1630,8,1630,1630,FR
1630,8,1630,1630,FR
1630,8,1630,1630,FR
1630,8,1630,1630,FR
1806,8,1806,1806,VD
1806,8,1806,1806,VD
8305,8,8305,8305,ZH
8750,8,8750,8750,GL
8750,8,8750,8750,GL
8750,8,8750,8750,GL
1752,8,1752,1752,FR
1752,8,1752,1752,FR
1752,8,1752,1752,FR
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1200,GE
1211,8,1211,1211,GE
1211,8,1211,1211,GE
1211,8,1211,1211,GE
1211,8,1211,1211,GE
1211,8,1211,1211,GE
1211,8,1211,1211,GE
1211,8,1211,1211,GE
6375,8,6375,6375,NW
3280,8,3280,3280,FR
3280,8,3280,3280,FR
3280,8,3280,3280,FR
3280,8,3280,3280,FR
6030,8,6030,6030,LU
6030,8,6030,6030,LU
6030,8,6030,6030,LU
6030,8,6030,6030,LU
7430,8,7430,7430,GR
7430,8,7430,7430,GR
7430,8,7430,7430,GR
5600,8,5600,5600,AG
5600,8,5600,5600,AG
5600,8,5600,5600,AG
5600,8,5600,5600,AG
5600,8,5600,5600,AG
5600,8,5600,5600,AG
9014,8,9014,9000,SG
9014,8,9014,9000,SG
1242,8,1242,1242,GE
4500,8,4500,4500,SO
4500,8,4500,4500,SO
4500,8,4500,4500,SO
1218,8,1218,1218,GE
1218,8,1218,1218,GE
8404,7,8404,8400,ZH
8404,7,8404,8400,ZH
8404,7,8404,8400,ZH
8404,7,8404,8404,ZH
4123,7,4123,4123,BL
4123,7,4123,4123,BL
4123,7,4123,4123,BL
4123,7,4123,4123,BL
4123,7,4123,4123,BL
4123,7,4123,4123,BL
4153,7,4153,4153,BL
4153,7,4153,4153,BL
4153,7,4153,4153,BL
4153,7,4153,4153,BL
4153,7,4153,4153,BL
6312,7,6312,6312,ZG
3860,7,3860,3860,BE
3860,7,3860,3860,BE
3860,7,3860,3860,BE
3860,7,3860,3860,BE
3860,7,3860,3860,BE
1680,7,1680,1680,FR
1680,7,1680,1680,FR
1680,7,1680,1680,FR
1680,7,1680,1680,FR
2016,7,2016,2016,NE
1372,7,1372,1372,VD
7746,7,7746,7746,GR
7513,7,7513,7513,GR
7513,7,7513,7513,GR
5742,7,5742,5742,AG
1020,7,1020,1020,VD
1020,7,1020,1020,VD
1020,7,1020,1020,VD
1020,7,1020,1020,VD
7250,7,7250,7250,GR
8636,7,8636,8636,ZH
8636,7,8636,8636,ZH
8636,7,8636,8636,ZH
5035,7,5035,5035,AG
6454,7,6454,6454,UR
7240,7,7240,7240,GR
7260,7,7260,7260,GR
1091,7,1091,1091,VD
1091,7,1091,1091,VD
1091,7,1091,1091,VD
7188,6,7188,7188,GR
3010,6,3010,3000,BE
5034,6,5034,5034,AG
7524,6,7524,7524,GR
9422,6,9422,9422,SG
3322,6,3322,3322,BE
3322,6,3322,3322,BE
3322,6,3322,3322,BE
3322,6,3322,3322,BE
8023,6,8023,8000,ZH
6208,6,6208,6208,LU
1663,6,1663,1663,FR
1663,6,1663,1663,FR
1663,6,1663,1663,FR
1663,6,1663,1663,FR
1663,6,1663,1663,FR
8783,6,8783,8783,GL
1205,6,1205,1200,GE
2000,6,2000,2000,NE
2000,6,2000,2000,NE
2000,6,2000,2000,NE
1233,6,1233,1233,GE
1233,6,1233,1233,GE
8184,6,8184,8184,ZH
1023,6,1023,1023,VD
1023,6,1023,1023,VD
1023,6,1023,1023,VD
1023,6,1023,1023,VD
1023,6,1023,1023,VD
3172,6,3172,3172,BE
6034,6,6034,6034,LU
3302,6,3302,3302,BE
8200,6,8200,8200,SH
8200,6,8200,8200,SH
8200,6,8200,8200,SH
8200,6,8200,8200,SH
3700,6,3700,3700,BE
3700,6,3700,3700,BE
3700,6,3700,3700,BE
8570,6,8570,8570,TG
8570,6,8570,8570,TG
1213,6,1213,1213,GE
1213,6,1213,1213,GE
1213,6,1213,1213,GE
1213,6,1213,1213,GE
1213,6,1213,1213,GE
7031,6,7031,7031,GR
1644,6,1644,1644,FR
3400,6,3400,3400,BE
3400,6,3400,3400,BE
3400,6,3400,3400,BE
3400,6,3400,3400,BE
3400,6,3400,3400,BE
3400,6,3400,3400,BE
3400,6,3400,3400,BE
6802,6,6802,6802,TI
6802,6,6802,6802,TI
8166,6,8166,8166,ZH
3001,6,3001,3000,BE
3001,6,3001,3001,BE
8005,6,8005,8000,ZH
6343,6,6343,6343,ZG
6343,6,6343,6343,ZG
6343,6,6343,6343,ZG
6343,6,6343,6343,ZG
1950,5,1950,1950,VS
1950,5,1950,1950,VS
1950,5,1950,1950,VS
1950,5,1950,1950,VS
1950,5,1950,1950,VS
1950,5,1950,1950,VS
1024,5,1024,1024,VD
1024,5,1024,1024,VD
2502,5,2502,2500,BE
1796,5,1796,1796,FR
4911,5,4911,4911,BE
4942,5,4942,4942,BE
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1400,5,1400,1400,VD
1763,5,1763,1763,FR
6430,5,6430,6430,SZ
6430,5,6430,6430,SZ
1964,5,1964,1964,VS
1964,5,1964,1964,VS
3930,5,3930,3930,VS
3930,5,3930,3930,VS
3930,5,3930,3930,VS
2072,5,2072,2072,NE
6205,5,6205,6205,LU
7302,5,7302,7302,GR
7302,5,7302,7302,GR
3555,5,3555,3555,BE
8702,5,8702,8702,ZH
8702,5,8702,8702,ZH
6204,5,6204,6204,LU
6204,5,6204,6204,LU
3552,5,3552,3552,BE
8645,5,8645,8645,SG
8645,5,8645,8645,SG
3770,5,3770,3770,BE
3770,5,3770,3770,BE
2300,5,2300,2300,NE
2300,5,2300,2300,NE
2300,5,2300,2300,NE
2300,5,2300,2300,NE
3123,5,3123,3123,BE
3123,5,3123,3123,BE
7503,5,7503,7503,GR
7503,5,7503,7503,GR
8604,5,8604,8604,ZH
8604,5,8604,8604,ZH
3018,5,3018,3000,BE
3018,5,3018,3018,BE
2503,5,2503,2500,BE
2560,5,2560,2560,BE
2560,5,2560,2560,BE
4242,5,4242,4242,BL
4242,5,4242,4242,BL
8630,5,8630,8630,ZH
1202,5,1202,1200,GE
1634,4,1634,1634,FR
9403,4,9403,9403,SG
8048,4,8048,8000,ZH
8048,4,8048,8048,ZH
8890,4,8890,8890,SG
8890,4,8890,8890,SG
7550,4,7550,7550,GR
4614,4,4614,4614,SO
4614,4,4614,4614,SO
6915,4,6915,6915,TI
4513,4,4513,4513,SO
6130,4,6130,6130,LU
6130,4,6130,6130,LU
6130,4,6130,6130,LU
6130,4,6130,6130,LU
5606,4,5606,5606,AG
5606,4,5606,5606,AG
8767,4,8767,8767,GL
7078,4,7078,7078,GR
7078,4,7078,7078,GR
7505,4,7505,7505,GR
3008,4,3008,3000,BE
6004,4,6004,6000,LU
4552,4,4552,4552,SO
8820,4,8820,8820,ZH
8820,4,8820,8820,ZH
8820,4,8820,8820,ZH
3780,4,3780,3780,BE
3780,4,3780,3780,BE
8157,4,8157,8157,ZH
8157,4,8157,8157,ZH
8880,4,8880,8880,SG
1288,4,1288,1288,GE
4104,4,4104,4104,BL
4104,4,4104,4104,BL
4104,4,4104,4104,BL
1545,4,1545,1545,VD
2103,4,2103,2103,NE
1217,4,1217,1217,GE
1217,4,1217,1217,GE
1217,4,1217,1217,GE
1217,4,1217,1217,GE
1730,4,1730,1730,FR
7514,4,7514,7514,GR
7514,4,7514,7514,GR
5610,4,5610,5610,AG
5610,4,5610,5610,AG
5610,4,5610,5610,AG
5610,4,5610,5610,AG
9200,4,9200,9200,SG
9200,4,9200,9200,SG
9200,4,9200,9200,SG
9200,4,9200,9200,SG
9200,4,9200,9200,SG
9200,4,9200,9200,SG
4512,4,4512,4512,SO
4512,4,4512,4512,SO
7310,4,7310,7310,SG
7310,4,7310,7310,SG
8406,4,8406,8400,ZH
8406,4,8406,8406,ZH
1279,4,1279,1279,VD
1279,4,1279,1279,VD
1279,4,1279,1279,VD
6513,4,6513,6513,TI
3097,4,3097,3097,BE
1860,4,1860,1860,VD
1860,4,1860,1860,VD
8340,4,8340,8340,ZH
8340,4,8340,8340,ZH
7231,4,7231,7231,GR
5612,4,5612,5612,AG
5612,4,5612,5612,AG
5612,4,5612,5612,AG
4102,4,4102,4102,BL
4102,4,4102,4102,BL
4102,4,4102,4102,BL
3007,4,3007,3000,BE
6207,4,6207,6207,LU
6207,4,6207,6207,LU
8951,4,8951,8951,ZH
7205,4,7205,7205,GR
5200,4,5200,5200,AG
5200,4,5200,5200,AG
5200,4,5200,5200,AG
5200,4,5200,5200,AG
5200,4,5200,5200,AG
9300,4,9300,9300,SG
6850,4,6850,6850,TI
6850,4,6850,6850,TI
6850,4,6850,6850,TI
6850,4,6850,6850,TI
6850,4,6850,6850,TI
7204,4,7204,7204,GR
8001,4,8001,8000,ZH
3294,4,3294,3294,BE
3294,4,3294,3294,BE
3294,4,3294,3294,BE
1212,4,1212,1212,GE
1212,4,1212,1212,GE
1212,4,1212,1212,GE
8906,4,8906,8906,ZH
1226,4,1226,1226,GE
8703,4,8703,8703,ZH
6032,4,6032,6032,LU
6032,4,6032,6032,LU
6032,4,6032,6032,LU
1716,4,1716,1716,FR
1716,4,1716,1716,FR
1716,4,1716,1716,FR
1800,4,1800,1800,VD
1800,4,1800,1800,VD
1800,4,1800,1800,VD
1800,4,1800,1800,VD
1800,4,1800,1800,VD
8800,4,8800,8800,ZH
8800,4,8800,8800,ZH
7436,4,7436,7436,GR
9323,4,9323,9323,SG
8306,4,8306,8306,ZH
1260,4,1260,1260,VD
1260,4,1260,1260,VD
1260,4,1260,1260,VD
1260,4,1260,1260,VD
1260,4,1260,1260,VD
4937,4,4937,4937,BE
8330,4,8330,8330,ZH
8330,4,8330,8330,ZH
8330,4,8330,8330,ZH
6500,4,6500,6500,TI
6500,4,6500,6500,TI
6500,4,6500,6500,TI
6500,4,6500,6500,TI
6500,4,6500,6500,TI
6500,4,6500,6500,TI
6500,4,6500,6500,TI
6500,4,6500,6500,TI
6500,4,6500,6500,TI
8932,4,8932,8932,ZH
3074,4,3074,3074,BE
5057,4,5057,5057,AG
8754,4,8754,8754,GL
4105,4,4105,4105,BL
9450,4,9450,9450,SG
9450,4,9450,9450,SG
9450,4,9450,9450,SG
9450,4,9450,9450,SG
7742,4,7742,7742,GR
7742,4,7742,7742,GR
7742,4,7742,7742,GR
8304,4,8304,8304,ZH
8304,4,8304,8304,ZH
8304,4,8304,8304,ZH
3612,4,3612,3612,BE
3612,4,3612,3612,BE
1724,3,1724,1724,FR
1724,3,1724,1724,FR
1724,3,1724,1724,FR
1724,3,1724,1724,FR
1724,3,1724,1724,FR
1724,3,1724,1724,FR
1724,3,1724,1724,FR
1724,3,1724,1724,FR
2108,3,2108,2108,NE
4226,3,4226,4226,SO
6017,3,6017,6017,LU
6017,3,6017,6017,LU
8600,3,8600,8600,ZH
8600,3,8600,8600,ZH
8600,3,8600,8600,ZH
8600,3,8600,8600,ZH
9475,3,9475,9475,SG
9008,3,9008,9000,SG
6460,3,6460,6460,UR
6460,3,6460,6460,UR
6460,3,6460,6460,UR
6460,3,6460,6460,UR
6432,3,6432,6432,SZ
6998,3,6998,6998,TI
6998,3,6998,6998,TI
9472,3,9472,9472,SG
9472,3,9472,9472,SG
9472,3,9472,9472,SG
9434,3,9434,9434,SG
4415,3,4415,4415,BL
4415,3,4415,4415,BL
1070,3,1070,1070,VD
2017,3,2017,2017,NE
1955,3,1955,1955,VS
1955,3,1955,1955,VS
1955,3,1955,1955,VS
1955,3,1955,1955,VS
1955,3,1955,1955,VS
1955,3,1955,1955,VS
4543,3,4543,4543,SO
1216,3,1216,1216,GE
4106,3,4106,4106,BL
5412,3,5412,5412,AG
5412,3,5412,5412,AG
1010,3,1010,1000,VD
3270,3,3270,3270,BE
4143,3,4143,4143,SO
7552,3,7552,7552,GR
9042,3,9042,9042,AR
8050,3,8050,8000,ZH
8050,3,8050,8000,ZH
8050,3,8050,8050,ZH
8050,3,8050,8050,ZH
5614,3,5614,5614,AG
8606,3,8606,8606,ZH
8606,3,8606,8606,ZH
8606,3,8606,8606,ZH
6565,3,6565,6565,GR
8245,3,8245,8245,ZH
2555,3,2555,2555,BE
8302,3,8302,8302,ZH
8302,3,8302,8302,ZH
8302,3,8302,8302,ZH
6214,3,6214,6214,LU
5400,3,5400,5400,AG
5400,3,5400,5400,AG
5400,3,5400,5400,AG
5012,3,5012,5012,SO
5012,3,5012,5012,SO
5012,3,5012,5012,SO
9523,3,9523,9523,SG
6436,3,6436,6436,SZ
6436,3,6436,6436,SZ
6436,3,6436,6436,SZ
9534,3,9534,9534,SG
9430,3,9430,9430,SG
5734,3,5734,5734,AG
5734,3,5734,5734,AG
5734,3,5734,5734,AG
5432,3,5432,5432,AG
6648,3,6648,6648,TI
3283,3,3283,3283,BE
3283,3,3283,3283,BE
8756,3,8756,8756,GL
3210,3,3210,3210,FR
3210,3,3210,3210,FR
4562,3,4562,4562,SO
1618,3,1618,1618,FR
1618,3,1618,1618,FR
3422,3,3422,3422,BE
3422,3,3422,3422,BE
3422,3,3422,3422,BE
3422,3,3422,3422,BE
4244,3,4244,4244,BL
9495,3,9495,9495,FL
9315,2,9315,9315,TG
9315,2,9315,9315,TG
1820,2,1820,1820,VD
1820,2,1820,1820,VD
1820,2,1820,1820,VD
1820,2,1820,1820,VD
1820,2,1820,1820,VD
1820,2,1820,1820,VD
8766,2,8766,8766,GL
5013,2,5013,5013,SO
7523,2,7523,7523,GR
8635,2,8635,8635,ZH
8514,2,8514,8514,TG
1625,2,1625,1625,FR
1625,2,1625,1625,FR
7744,2,7744,7744,GR
8180,2,8180,8180,ZH
8180,2,8180,8180,ZH
8180,2,8180,8180,ZH
4710,2,4710,4710,SO
4710,2,4710,4710,SO
4710,2,4710,4710,SO
4533,2,4533,4533,SO
6376,2,6376,6376,NW
5504,2,5504,5504,AG
2830,2,2830,2830,JU
2830,2,2830,2830,JU
6170,2,6170,6170,LU
6170,2,6170,6170,LU
6133,2,6133,6133,LU
2035,2,2035,2035,NE
2035,2,2035,2035,NE
8573,2,8573,8573,TG
8573,2,8573,8573,TG
8573,2,8573,8573,TG
3672,2,3672,3672,BE
3672,2,3672,3672,BE
4114,2,4114,4114,SO
2900,2,2900,2900,JU
2900,2,2900,2900,JU
2900,2,2900,2900,JU
2900,2,2900,2900,JU
2900,2,2900,2900,JU
8716,2,8716,8716,SG
7320,2,7320,7320,SG
7320,2,7320,7320,SG
7545,2,7545,7545,GR
7450,2,7450,7450,GR
8755,2,8755,8755,GL
8620,2,8620,8620,ZH
8620,2,8620,8620,ZH
8620,2,8620,8620,ZH
8620,2,8620,8620,ZH
2087,2,2087,2087,NE
1868,2,1868,1868,VS
7232,2,7232,7232,GR
1616,2,1616,1616,FR
8806,2,8806,8806,SZ
8580,2,8580,8580,TG
8580,2,8580,8580,TG
8580,2,8580,8580,TG
8580,2,8580,8580,TG
8580,2,8580,8580,TG
8580,2,8580,8580,TG
1562,2,1562,1562,VD
3005,2,3005,3000,BE
8165,2,8165,8165,ZH
8165,2,8165,8165,ZH
8165,2,8165,8165,ZH
5070,2,5070,5070,AG
5070,2,5070,5070,AG
5070,2,5070,5070,AG
7130,2,7130,7130,GR
7130,2,7130,7130,GR
7130,2,7130,7130,GR
7220,2,7220,7220,GR
7083,2,7083,7083,GR
6039,2,6039,6037,LU
6039,2,6039,6039,LU
7180,2,7180,7180,GR
6362,2,6362,6362,NW
8268,2,8268,8268,TG
8268,2,8268,8268,TG
1632,2,1632,1632,FR
6926,2,6926,6926,TI
1656,2,1656,1656,FR
1656,2,1656,1656,FR
1690,2,1690,1690,FR
1690,2,1690,1690,FR
4652,2,4652,4652,SO
6003,2,6003,6000,LU
6003,2,6003,6003,LU
5018,2,5018,5018,AG
3627,2,3627,3627,BE
7743,2,7743,7743,GR
7743,2,7743,7743,GR
8422,2,8422,8422,ZH
8422,2,8422,8422,ZH
2518,2,2518,2518,BE
8444,2,8444,8444,ZH
2605,2,2605,2605,BE
7246,2,7246,7246,GR
9056,2,9056,9056,AR
9477,2,9477,9477,SG
9444,2,9444,9444,SG
1643,2,1643,1643,FR
8898,2,8898,8898,SG
7741,2,7741,7741,GR
9469,2,9469,9469,SG
4658,2,4658,4658,SO
1669,2,1669,1669,FR
1669,2,1669,1669,FR
1669,2,1669,1669,FR
1669,2,1669,1669,FR
1669,2,1669,1669,FR
3613,2,3613,3613,BE
3613,2,3613,3613,BE
9473,2,9473,9473,SG
6371,2,6371,6371,NW
9322,2,9322,9322,TG
1258,2,1258,1258,GE
8712,2,8712,8712,ZH
8332,2,8332,8332,ZH
8332,2,8332,8332,ZH
2053,2,2053,2053,NE
4571,2,4571,4571,SO
4571,2,4571,4571,SO
4571,2,4571,4571,SO
4107,2,4107,4107,BL
6512,2,6512,6512,TI
5703,2,5703,5703,AG
5703,2,5703,5703,AG
9642,2,9642,9642,SG
7554,2,7554,7554,GR
5605,2,5605,5605,AG
5605,2,5605,5605,AG
5616,2,5616,5616,AG
9425,2,9425,9425,SG
3421,2,3421,3421,BE
3421,2,3421,3421,BE
5015,2,5015,5015,SO
1712,2,1712,1712,FR
1025,2,1025,1025,VD
8112,2,8112,8112,ZH
4203,2,4203,4203,BL
1615,2,1615,1615,FR
6383,2,6383,6383,NW
6383,2,6383,6383,NW
6383,2,6383,6383,NW
6383,2,6383,6383,NW
7482,2,7482,7482,GR
7482,2,7482,7482,GR
7482,2,7482,7482,GR
5102,2,5102,5102,AG
4587,2,4587,4587,SO
9325,2,9325,9325,TG
1196,2,1196,1196,VD
1196,2,1196,1196,VD
1196,2,1196,1196,VD
3303,2,3303,3303,BE
3303,2,3303,3303,BE
3303,2,3303,3303,BE
3303,2,3303,3303,BE
8047,2,8047,8000,ZH
8047,2,8047,8047,ZH
8762,2,8762,8762,GL
8762,2,8762,8762,GL
8762,2,8762,8762,GL
8762,2,8762,8762,GL
4124,2,4124,4124,BL
6275,2,6275,6275,LU
9305,2,9305,9305,SG
3454,2,3454,3454,BE
3454,2,3454,3454,BE
8603,2,8603,8603,ZH
8603,2,8603,8603,ZH
3202,2,3202,3202,BE
7527,2,7527,7527,GR
1753,2,1753,1753,FR
8352,2,8352,8352,ZH
8352,2,8352,8352,ZH
8352,2,8352,8352,ZH
8594,2,8594,8594,TG
4103,2,4103,4103,BL
2608,2,2608,2608,BE
2608,2,2608,2608,BE
1637,2,1637,1637,FR
9242,2,9242,9242,SG
2022,2,2022,2022,NE
8370,2,8370,8370,TG
8370,2,8370,8370,TG
8370,2,8370,8370,TG
6014,2,6014,6000,LU
6014,2,6014,6014,LU
1804,2,1804,1804,VD
5054,2,5054,5054,AG
5054,2,5054,5054,AG
5054,2,5054,5054,AG
1720,2,1720,1720,FR
1720,2,1720,1720,FR
7512,2,7512,7512,GR
3175,2,3175,3175,FR
3175,2,3175,3175,FR
3272,2,3272,3272,BE
3272,2,3272,3272,BE
7189,2,7189,7189,GR
7532,2,7532,7532,GR
2034,2,2034,2034,NE
4207,2,4207,4207,BL
7153,2,7153,7153,GR
3178,2,3178,3178,FR
4950,2,4950,4950,BE
4950,2,4950,4950,BE
8307,2,8307,8307,ZH
